id	Name	RECP	SowingMonth	Sowing	Heading	Rep
1	PSH	RECP1	2	2019-02-01	2019-11-15	plant1
2	PSH	RECP1	2	2019-02-01	2019-11-13	plant2
3	PSH	RECP1	2	2019-02-01	2019-11-13	plant3
4	PSH	RECP1	2	2019-02-01	2019-11-10	plant4
5	PSH	RECP1	2	2019-02-01	NA	plant5
6	PSH	RECP1	3	2019-03-01	2019-11-12	plant1
7	PSH	RECP1	3	2019-03-01	2019-11-10	plant2
8	PSH	RECP1	3	2019-03-01	2019-11-09	plant3
9	PSH	RECP1	3	2019-03-01	2019-11-12	plant4
10	PSH	RECP1	3	2019-03-01	2019-11-09	plant5
11	PSH	RECP1	4	2019-04-01	2019-11-10	plant1
12	PSH	RECP1	4	2019-04-01	2019-11-08	plant2
13	PSH	RECP1	4	2019-04-01	2019-11-10	plant3
14	PSH	RECP1	4	2019-04-01	2019-11-11	plant4
15	PSH	RECP1	4	2019-04-01	2019-11-12	plant5
16	PSH	RECP1	5	2019-05-01	2019-11-17	plant1
17	PSH	RECP1	5	2019-05-01	2019-11-18	plant2
18	PSH	RECP1	5	2019-05-01	2019-11-16	plant3
19	PSH	RECP1	5	2019-05-01	2019-11-17	plant4
20	PSH	RECP1	5	2019-05-01	2019-11-17	plant5
21	PSH	RECP1	6	2019-06-01	NA	plant1
22	PSH	RECP1	6	2019-06-01	2019-11-12	plant2
23	PSH	RECP1	6	2019-06-01	2019-11-12	plant3
24	PSH	RECP1	6	2019-06-01	2019-11-11	plant4
25	PSH	RECP1	6	2019-06-01	2019-11-11	plant5
26	PSH	RECP1	7	2019-07-01	2019-11-17	plant1
27	PSH	RECP1	7	2019-07-01	2019-11-17	plant2
28	PSH	RECP1	7	2019-07-01	2019-11-18	plant3
29	PSH	RECP1	7	2019-07-01	2019-11-17	plant4
30	PSH	RECP1	7	2019-07-01	2019-11-16	plant5
31	PSH	RECP1	8	2019-08-01	2019-11-26	plant1
32	PSH	RECP1	8	2019-08-01	2019-11-19	plant2
33	PSH	RECP1	8	2019-08-01	2019-11-20	plant3
34	PSH	RECP1	8	2019-08-01	2019-11-20	plant4
35	PSH	RECP1	8	2019-08-01	2019-11-22	plant5
36	PSH	RECP1	9	2019-09-01	2019-12-09	plant1
37	PSH	RECP1	9	2019-09-01	2019-12-02	plant2
38	PSH	RECP1	9	2019-09-01	2019-12-04	plant3
39	PSH	RECP1	9	2019-09-01	2019-12-02	plant4
40	PSH	RECP1	9	2019-09-01	2019-12-04	plant5
41	PSH	RECP1	9	2019-09-16	2019-12-24	plant1
42	PSH	RECP1	9	2019-09-16	2020-01-02	plant2
43	PSH	RECP1	9	2019-09-16	2019-12-21	plant3
44	PSH	RECP1	9	2019-09-16	2019-12-29	plant4
45	PSH	RECP1	9	2019-09-16	2019-12-30	plant5
46	PSH	RECP1	10	2019-10-01	2020-01-31	plant1
47	PSH	RECP1	10	2019-10-01	NA	plant2
48	PSH	RECP1	10	2019-10-01	2020-01-16	plant3
49	PSH	RECP1	10	2019-10-01	2020-01-19	plant4
50	PSH	RECP1	10	2019-10-01	2020-01-19	plant5
51	PSH	RECP1	10	2019-10-16	2020-02-26	plant1
52	PSH	RECP1	10	2019-10-16	2020-02-26	plant2
53	PSH	RECP1	10	2019-10-16	2020-02-28	plant3
54	PSH	RECP1	10	2019-10-16	2020-02-28	plant4
55	PSH	RECP1	10	2019-10-16	2020-02-26	plant5
56	PSH	RECP1	11	2019-11-01	2020-03-09	plant1
57	PSH	RECP1	11	2019-11-01	2020-03-13	plant2
58	PSH	RECP1	11	2019-11-01	2020-03-13	plant3
59	PSH	RECP1	11	2019-11-01	2020-03-15	plant4
60	PSH	RECP1	11	2019-11-01	2020-03-15	plant5
61	PSH	RECP1	11	2019-11-16	2020-03-10	plant1
